"date d'inscription (ou de requête)","Quel âge avez-vous ?","Vous êtes...","Quelle est votre langue maternelle ?","Quelle langue enseignez-vous ?","Apprenez vous une nouvelle langue ?","Laquelle ?","Avez-vous besoin d'apprendre un nouvel alphabet ?","Vous apprenez...","Avez-vous besoin d'enseigner un nouvel alphabet ?","Depuis combien de temps ?","Comment évaluez-vous votre niveau de compétence dans la langue apprise ?","Dans quelle mesure ces outils vous ont aidés / vous aident ?","Quelles sont les principales difficultés que vous rencontrez dans votre apprentissage ?","Utilisez-vous l'un ou plusieurs de ces outils","Quels sont les noms des outils que vous utilisez ?","Comment utilisez-vous les outils de discussion ?","A quelle fréquence utilisez-vous ces technologies ?","Dans quel(s) but(s) utilisez-vous ces outils ?","Quelles sont les ressources que vous utilisez ?","Comment utilisez-vous les technologies dans votre enseignement et quels sont leurs avantages et inconvénients ?","Quelles fonctionnalités souhaiteriez-vous voir améliorées sur ces outils ?","Dans quelle mesure faites vous confiance aux outils d'intelligence artificielles ?","Quelles sont les ressources que vous utilisez durant vos cours ?","IP de soumission","Date de la dernière mise à jour","Dans quel(s) but(s) utilisez-vous ces outils ?","présentation ID"
"juil. 22, 2024",15,"Etudiant, apprenant d'une nouvelle langue","American English ",,Oui,"German ",Non,"Seul (autodidacte)",,"Entre 1 an et 2 ans",3,8,"L'expression orale
La grammaire / conjugaison
La compréhension orale",,"Duolingo ",,"Tous les jours","Pour progresser à mon propre rythme et sans pression","Applications mobiles",,"Nothing really ",4,,73.119.24.23,,,5974916333241437681
"août 5, 2024",15,"Etudiant, apprenant d'une nouvelle langue",Français,,Oui,Coréen,Oui,"Un peu des deux",,"Entre 1 an et 2 ans",3,10,"L'expression écrite
La grammaire / conjugaison
La compréhension orale",,"Youtube, Anki, Dictionnaire en ligne, Examens blancs",,"Tous les jours","Pour pratiquer la langue de manière interactive et ludique","Sites internet traditionnels
Cours avec un professeur
Applications mobiles",,"Sur Youtube des sous-titres qu'on peut copier-coller",8,,90.26.10.82,,,5986928042803116179
"juil. 24, 2024",16,"Etudiant, apprenant d'une nouvelle langue",日本語,,Oui,English,Non,"Un peu des deux",,"Plus de 2 ans",4,,"L'expression orale
Le vocabulaire
La compréhension orale",,,,,,Livres,,,2,,150.31.3.99,,,5976358089938635235
"mai 8, 2024",17,"Etudiant, apprenant d'une nouvelle langue","Français ",,Oui,Coréen,Oui,"Un peu des deux",,"Entre 1 an et 2 ans",4,10,"L'expression orale
Le vocabulaire
La compréhension orale
La compréhension écrite",,"Livres: Get in Korean / Sites internet traditionnels: Parlons Coréen, Kajacoree, Korean verb, Students of the world / Applications: Hellotalk, Papago, Naver dictionary (désolée, question un peu floue selon moi)",,"Tous les jours","Pour bénéficier d'un apprentissage personnalisé
Pour pratiquer la langue de manière interactive et ludique
Pour progresser à mon propre rythme et sans pression
Pour s'entraîner en communiquant avec des natifs","Livres
Sites internet traditionnels
Cours avec un professeur
Applications mobiles",,"- Regroupement et récapitulatif des informations
- Exemples de traduction",8,,46.193.56.9,,,5909350129657917214
"mai 5, 2024",18,"Etudiant, apprenant d'une nouvelle langue",français,,Oui,"Anglais principale, Chinois secondaire",Oui,"Seul (autodidacte)",,"Moins de 6 mois",6,8,"L'expression orale
L'alphabet
La grammaire / conjugaison",,,,"Tous les jours","Pour réduire les coûts liés à l'apprentissage des langues
Pour gagner en flexibilité dans mes horaires d'apprentissage.
Pour pratiquer la langue de manière interactive et ludique","Sites internet traditionnels
Applications mobiles",,,8,,88.171.231.140,,,5907320120411685855
"août 1, 2024",18,"Etudiant, apprenant d'une nouvelle langue",日本語,,Oui,韓国語,Non,"Seul (autodidacte)",,"Entre 1 an et 2 ans",3,8,"L'expression écrite
Le vocabulaire
La compréhension écrite",,Duolingo,,"Tous les jours","Pour réduire les coûts liés à l'apprentissage des langues
Pour gagner en flexibilité dans mes horaires d'apprentissage.
Pour pratiquer la langue de manière interactive et ludique
Pour progresser à mon propre rythme et sans pression","Applications mobiles",,友達のように話して学べるように、苦手にフォーカスして学べるように,8,,220.216.38.115,,,5983026715111891558
"mai 5, 2024",19,"Etudiant, apprenant d'une nouvelle langue",Français,,Oui,Anglais,Non,"Un peu des deux",,"Je ne sais pas",6,6,"L'expression orale
Le vocabulaire
La compréhension orale",,,,"Au moins une fois par semaine","Pour progresser à mon propre rythme et sans pression","Cours avec un professeur
Autre",,,,Livres,86.225.255.253,,,5907151333522954021
"juil. 22, 2024",19,"Etudiant, apprenant d'une nouvelle langue",Arabic,,Oui,"Le français ",Oui,"Seul (autodidacte)",,"Entre 6 mois et 1 an",6,5,"L'expression orale
Le vocabulaire
La grammaire / conjugaison
La compréhension orale",,Bussu,,"Au moins 3 fois par semaine","Pour réduire les coûts liés à l'apprentissage des langues","Livres
Sites internet traditionnels
Applications mobiles",,,6,,105.110.126.9,,,5974911039623639558
"août 1, 2024",19,"Etudiant, apprenant d'une nouvelle langue",日本語,,Oui,中国語,Oui,"Un peu des deux",,"Entre 1 an et 2 ans",3,8,"L'expression orale
L'expression écrite
Le vocabulaire
La grammaire / conjugaison
La compréhension orale
La compréhension écrite",,,,"Au moins 3 fois par semaine","Pour réduire les coûts liés à l'apprentissage des langues
Pour bénéficier d'un apprentissage personnalisé
Pour gagner en flexibilité dans mes horaires d'apprentissage.
Pour pratiquer la langue de manière interactive et ludique
Pour progresser à mon propre rythme et sans pression","Livres
Sites internet traditionnels
Cours avec un professeur
Applications mobiles",,違和感なく会話練習ができたら嬉しい,5,,106.129.69.131,,,5983004871314423069
"mai 16, 2024",20,"Etudiant, apprenant d'une nouvelle langue",Français,,Oui,Malais,Non,"Seul (autodidacte)",,"Moins de 6 mois",,8,"L'expression orale
L'expression écrite",,"Youtube, ChatGPT, HelloTalk, Google Translate",,"Tous les jours","Pour réduire les coûts liés à l'apprentissage des langues
Pour gagner en flexibilité dans mes horaires d'apprentissage.
Pour pratiquer la langue de manière interactive et ludique
Pour progresser à mon propre rythme et sans pression","Sites internet traditionnels
Outils d'intelligence artificielle
Applications mobiles",,"Les IA ont du mal à s'adapter à notre niveau surtout pour un débutant, aussi il n'y a pas de pratique oral, ou alors elle est peu précise.",6,,92.184.121.202,,,5916719312027154100
